time,demand(kWh)
0:00,288.2211442
0:30,279.4100559
1:00,290.1310343
1:30,284.6329143
2:00,282.4171325
2:30,283.3372371
3:00,290.1731434
3:30,290.6391966
4:00,306.2201049
4:30,294.9264401
5:00,323.5351121
5:30,324.4037736
6:00,351.0294124
6:30,356.2568518
7:00,392.1776184
7:30,410.6165831
8:00,439.3865156
8:30,446.4359439
9:00,466.9948477
9:30,478.7685734
10:00,492.1241076
10:30,482.1210227
11:00,479.0787614
11:30,471.8098815
12:00,475.1375724
12:30,472.4564391
13:00,464.8302773
13:30,455.5210581
14:00,439.3997024
14:30,432.8777905
15:00,439.1386405
15:30,423.4753279
16:00,395.2656629
16:30,394.889521
17:00,359.6081626
17:30,350.4983784
18:00,323.2446911
18:30,343.1467764
19:00,301.5710846
19:30,314.86608
20:00,301.7513309
20:30,306.7559184
21:00,284.770085
21:30,311.1323185
22:00,278.7529196
22:30,291.1185492
23:00,285.0428243
23:30,284.9239245
